classe,testes,falhas,erros,ignorados,tempo_segundos
com.raizesdonordeste.backendapi.BackendApiApplicationTests,1,0,0,0,0.207
com.raizesdonordeste.backendapi.config.ConfiguracaoAmbienteTest,3,0,0,0,0.002
com.raizesdonordeste.backendapi.config.OpenApiDocumentationTest,1,0,0,0,1.066
com.raizesdonordeste.backendapi.config.RequestCorrelationFilterTest,3,0,0,0,0.005
com.raizesdonordeste.backendapi.exception.GlobalExceptionHandlerTest,10,0,0,0,0.022
com.raizesdonordeste.backendapi.exception.RecursoNaoEncontradoExceptionTest,5,0,0,0,0.002
com.raizesdonordeste.backendapi.gateway.GatewayPagamentoMockTest,7,0,0,0,0.002
com.raizesdonordeste.backendapi.repository.CupomRepositoryConcorrenciaTest,1,0,0,0,12.189
com.raizesdonordeste.backendapi.repository.EstoqueRepositoryConcorrenciaTest,1,0,0,0,0.032
com.raizesdonordeste.backendapi.security.AceiteTermosUsoFilterTest,3,0,0,0,0.042
com.raizesdonordeste.backendapi.security.JwtTokenServiceTest,10,0,0,0,0.067
com.raizesdonordeste.backendapi.security.SecurityConfigTest,2,0,0,0,0.020
com.raizesdonordeste.backendapi.service.AcessoUnidadeServiceTest,10,0,0,0,0.005
com.raizesdonordeste.backendapi.service.AutorizacaoPedidoServiceTest,12,0,0,0,0.004
com.raizesdonordeste.backendapi.service.CampanhaServiceTest,18,0,0,0,0.010
com.raizesdonordeste.backendapi.service.CupomServiceTest,19,0,0,0,0.010
com.raizesdonordeste.backendapi.service.DescontoServiceTest,20,0,0,0,0.022
com.raizesdonordeste.backendapi.service.DocumentoLegalServiceTest,5,0,0,0,0.008
com.raizesdonordeste.backendapi.service.EstoqueServiceTest,18,0,0,0,0.037
com.raizesdonordeste.backendapi.service.FidelidadeServiceTest,10,0,0,0,0.009
com.raizesdonordeste.backendapi.service.PagamentoServiceTest,18,0,0,0,0.016
com.raizesdonordeste.backendapi.service.PedidoServiceTest,34,0,0,0,0.047
com.raizesdonordeste.backendapi.service.ProdutoServiceTest,15,0,0,0,0.008
com.raizesdonordeste.backendapi.service.ReservaPedidoServiceTest,3,0,0,0,0.002
com.raizesdonordeste.backendapi.service.UnidadeServiceTest,12,0,0,0,0.007
com.raizesdonordeste.backendapi.service.UsuarioServiceTest,12,0,0,0,0.007
com.raizesdonordeste.backendapi.util.LogPseudonymizerTest,2,0,0,0,0.001
